Phi[deg],Theta[deg],GainTotal
104,32,3.95516
106,32,4.02844
108,32,4.10304
110,32,4.17865
112,32,4.25493
114,32,4.3315
116,32,4.40792
118,32,4.48373
120,32,4.55842
122,32,4.63145
124,32,4.70226
126,32,4.77026
128,32,4.83487
130,32,4.8955
132,32,4.9516
134,32,5.00264
136,32,5.04814
138,32,5.08768
140,32,5.12091
142,32,5.14758
144,32,5.16754
146,32,5.18074
148,32,5.18724
150,32,5.18722
152,32,5.18098
154,32,5.16893
156,32,5.15158
158,32,5.12954
160,32,5.10349
162,32,5.07418
164,32,5.04243
166,32,5.00904
168,32,4.97485
170,32,4.94068
172,32,4.90731
174,32,4.87544
176,32,4.84574
178,32,4.81875
180,32,4.79491
-180,34,4.34216
-178,34,4.32046
-176,34,4.30366
-174,34,4.29185
-172,34,4.28497
-170,34,4.28279
-168,34,4.28496
-166,34,4.29101
-164,34,4.30035
-162,34,4.31231
-160,34,4.32615
-158,34,4.34109
-156,34,4.35632
-154,34,4.37105
-152,34,4.38449
-150,34,4.39593
-148,34,4.40467
-146,34,4.41015
-144,34,4.41185
-142,34,4.40938
-140,34,4.40243
-138,34,4.39082
-136,34,4.37445
-134,34,4.35334
-132,34,4.32759
-130,34,4.29738
-128,34,4.26298
-126,34,4.2247
-124,34,4.18289
-122,34,4.13795
-120,34,4.09029
-118,34,4.04033
-116,34,3.98847
-114,34,3.93511
-112,34,3.88063
-110,34,3.82536
-108,34,3.76962
-106,34,3.71367
-104,34,3.65777
-102,34,3.6021
-100,34,3.54683
-98,34,3.49209
-96,34,3.43799
-94,34,3.38462
-92,34,3.33204
-90,34,3.2803
-88,34,3.22944
-86,34,3.17952
-84,34,3.13057
-82,34,3.08264
-80,34,3.03578
-78,34,2.99006
-76,34,2.94555
-74,34,2.90232
-72,34,2.86047
-70,34,2.82008
-68,34,2.78126
-66,34,2.74411
-64,34,2.70872
-62,34,2.67521
-60,34,2.64364
-58,34,2.61412
-56,34,2.58671
-54,34,2.56147
-52,34,2.53846
-50,34,2.51769
-48,34,2.4992
-46,34,2.48299
-44,34,2.46903
-42,34,2.4573
-40,34,2.44776
-38,34,2.44035
-36,34,2.43501
-34,34,2.43165
-32,34,2.43019
-30,34,2.43052
-28,34,2.43255
-26,34,2.43616
-24,34,2.44124
-22,34,2.44767
-20,34,2.45532
-18,34,2.46407
-16,34,2.47379
-14,34,2.48435
-12,34,2.49562
-10,34,2.50747
-8,34,2.51976
-6,34,2.53237
-4,34,2.54517
-2,34,2.55803
0,34,2.57081
2,34,2.5834
4,34,2.59568
6,34,2.60753
8,34,2.61885
10,34,2.62952
12,34,2.63946
14,34,2.6486
16,34,2.65685
18,34,2.66418
20,34,2.67054
22,34,2.67591
24,34,2.68031
26,34,2.68375
28,34,2.68629
30,34,2.68798
32,34,2.68894
34,34,2.68927
36,34,2.68912
38,34,2.68865
40,34,2.68805
42,34,2.68752
44,34,2.68729
46,34,2.68757
48,34,2.68861
50,34,2.69065
52,34,2.69393
54,34,2.69869
56,34,2.70516
58,34,2.71354
60,34,2.72405
62,34,2.73686
64,34,2.75213
66,34,2.76999
68,34,2.79057
70,34,2.81394
72,34,2.84019
74,34,2.86935
76,34,2.90145
78,34,2.93651
80,34,2.97452
82,34,3.01547
84,34,3.05933
86,34,3.10606
88,34,3.15563
90,34,3.20799
92,34,3.26307
94,34,3.32081
96,34,3.38112
98,34,3.44392
100,34,3.50907
102,34,3.57645
104,34,3.64587
106,34,3.71712
108,34,3.78996
110,34,3.86409
112,34,3.93916
114,34,4.01479
116,34,4.09051
118,34,4.16583
120,34,4.24021
122,34,4.31304
124,34,4.3837
126,34,4.45154
128,34,4.51589
130,34,4.57608
132,34,4.63147
134,34,4.68142
136,34,4.72538
138,34,4.76285
140,34,4.79342
142,34,4.81677
144,34,4.83271
146,34,4.84119
148,34,4.84225
150,34,4.83611
152,34,4.82311
154,34,4.80373
156,34,4.77858
158,34,4.74838
160,34,4.71395
162,34,4.67618
164,34,4.63602
166,34,4.59447
168,34,4.55251
170,34,4.51111
172,34,4.47121
174,34,4.43366
176,34,4.39922
178,34,4.36855
180,34,4.34216
-180,36,3.89251
-178,36,3.86958
-176,36,3.85281
-174,36,3.84228
-172,36,3.83789
-170,36,3.83935
-168,36,3.84622
-166,36,3.85792
-164,36,3.87374
-162,36,3.89286
-160,36,3.91439
-158,36,3.9374
-156,36,3.96093
-154,36,3.98403
-152,36,4.00577
-150,36,4.02531
-148,36,4.04185
-146,36,4.05471
-144,36,4.06333
-142,36,4.06725
-140,36,4.06614
-138,36,4.0598
-136,36,4.04816
-134,36,4.03126
-132,36,4.00924
-130,36,3.98236
-128,36,3.95094
-126,36,3.91537
-124,36,3.87608
-122,36,3.83354
-120,36,3.78824
-118,36,3.74067
-116,36,3.69129
-114,36,3.64055
-112,36,3.58887
-110,36,3.53663
-108,36,3.48415
-106,36,3.43171
-104,36,3.37956
-102,36,3.32787
-100,36,3.2768
-98,36,3.22646
-96,36,3.17692
-94,36,3.12823
-92,36,3.08042
-90,36,3.03351
-88,36,2.98752
-86,36,2.94244
-84,36,2.8983
-82,36,2.85512
-80,36,2.81293
-78,36,2.77177
-76,36,2.73172
-74,36,2.69285
-72,36,2.65523
-70,36,2.61897
-68,36,2.58417
-66,36,2.55094
-64,36,2.51939
-62,36,2.48962
-60,36,2.46173
-58,36,2.43583
-56,36,2.41197
-54,36,2.39024
-52,36,2.37068
-50,36,2.35332
-48,36,2.33818
-46,36,2.32525
-44,36,2.31452
-42,36,2.30594
-40,36,2.29948
-38,36,2.29506
-36,36,2.2926
-34,36,2.29201
-32,36,2.2932
-30,36,2.29606
-28,36,2.30048
-26,36,2.30633
-24,36,2.31349
-22,36,2.32183
-20,36,2.33123
-18,36,2.34155
-16,36,2.35267
-14,36,2.36445
-12,36,2.37676
-10,36,2.38946
-8,36,2.40242
-6,36,2.41552
-4,36,2.42861
-2,36,2.44157
0,36,2.45427
2,36,2.46658
4,36,2.47838
6,36,2.48954
8,36,2.49996
10,36,2.50953
12,36,2.51816
14,36,2.52574
16,36,2.53222
18,36,2.53754
20,36,2.54164
22,36,2.54452
24,36,2.54616
26,36,2.5466
28,36,2.54588
30,36,2.54408
32,36,2.5413
34,36,2.53766
36,36,2.53332
38,36,2.52847
40,36,2.5233
42,36,2.51804
44,36,2.51294
46,36,2.50825
48,36,2.50423
50,36,2.50117
52,36,2.49933
54,36,2.49897
56,36,2.50034
58,36,2.50369
60,36,2.50924
62,36,2.51717
64,36,2.52767
66,36,2.54086
68,36,2.55687
70,36,2.57579
72,36,2.59768
74,36,2.62257
76,36,2.65049
78,36,2.68143
80,36,2.7154
82,36,2.75235
84,36,2.79227
86,36,2.83512
88,36,2.88086
90,36,2.92944
92,36,2.98083
94,36,3.03497
96,36,3.0918
98,36,3.15125
100,36,3.21322
102,36,3.27761
104,36,3.34426
106,36,3.413
108,36,3.4836
110,36,3.55576
112,36,3.62917
114,36,3.70342
116,36,3.77805
118,36,3.85253
120,36,3.92628
122,36,3.99866
124,36,4.06899
126,36,4.13652
128,36,4.20051
130,36,4.26021
132,36,4.31486
134,36,4.36376
136,36,4.40624
138,36,4.44171
140,36,4.46969
142,36,4.4898
144,36,4.50181
146,36,4.50561
148,36,4.50127
150,36,4.48902
152,36,4.46924
154,36,4.44249
156,36,4.40947
158,36,4.37101
160,36,4.32807
162,36,4.2817
164,36,4.23301
166,36,4.18316
168,36,4.1333
170,36,4.08458
172,36,4.03809
174,36,3.99481
176,36,3.95564
178,36,3.92134
180,36,3.89251
-180,38,3.45358
-178,38,3.4296
-176,38,3.41306
-174,38,3.40402
-172,38,3.40233
-170,38,3.40765
-168,38,3.41945
-166,38,3.43702
-164,38,3.45952
-162,38,3.48598
-160,38,3.51536
-158,38,3.54657
-156,38,3.57846
-154,38,3.60995
-152,38,3.63997
-150,38,3.66753
-148,38,3.69173
-146,38,3.71179
-144,38,3.72709
-142,38,3.73711
-140,38,3.7415
-138,38,3.74008
-136,38,3.73278
-134,38,3.71969
-132,38,3.70102
-130,38,3.67707
-128,38,3.64825
-126,38,3.61503
-124,38,3.57794
-122,38,3.53754
-120,38,3.49437
-118,38,3.44901
-116,38,3.40199
-114,38,3.35382
-112,38,3.30493
-110,38,3.25575
-108,38,3.20662
-106,38,3.15783
-104,38,3.1096
-102,38,3.0621
-100,38,3.01547
-98,38,2.96977
-96,38,2.92505
-94,38,2.88131
-92,38,2.83855
-90,38,2.79674
-88,38,2.75585
-86,38,2.71585
-84,38,2.67673
-82,38,2.63849
-80,38,2.60113
-78,38,2.56469
-76,38,2.52921
-74,38,2.49477
-72,38,2.46145
-70,38,2.42936
-68,38,2.39859
-66,38,2.36928
-64,38,2.34155
-62,38,2.31549
-60,38,2.29124
-58,38,2.26889
-56,38,2.24852
-54,38,2.23021
-52,38,2.21401
-50,38,2.19994
-48,38,2.18803
-46,38,2.17827
-44,38,2.17062
-42,38,2.16506
-40,38,2.1615
-38,38,2.15989
-36,38,2.16012
-34,38,2.16211
-32,38,2.16574
-30,38,2.17089
-28,38,2.17745
-26,38,2.18528
-24,38,2.19426
-22,38,2.20425
-20,38,2.21513
-18,38,2.22676
-16,38,2.239
-14,38,2.25172
-12,38,2.2648
-10,38,2.2781
-8,38,2.29148
-6,38,2.30482
-4,38,2.31799
-2,38,2.33086
0,38,2.34329
2,38,2.35517
4,38,2.36636
6,38,2.37674
8,38,2.3862
10,38,2.39463
12,38,2.40193
14,38,2.40799
16,38,2.41275
18,38,2.41614
20,38,2.4181
22,38,2.41861
24,38,2.41768
26,38,2.4153
28,38,2.41154
30,38,2.40647
32,38,2.40019
34,38,2.39284
36,38,2.38459
38,38,2.37562
40,38,2.36616
42,38,2.35646
44,38,2.34679
46,38,2.33742
48,38,2.32865
50,38,2.32079
52,38,2.31412
54,38,2.30895
56,38,2.30555
58,38,2.30417
60,38,2.30506
62,38,2.30843
64,38,2.31444
66,38,2.32325
68,38,2.33498
70,38,2.34969
72,38,2.36745
74,38,2.38829
76,38,2.4122
78,38,2.43917
80,38,2.46919
82,38,2.50221
84,38,2.5382
86,38,2.57712
88,38,2.61894
90,38,2.66362
92,38,2.71112
94,38,2.76143
96,38,2.81449
98,38,2.87028
100,38,2.92872
102,38,2.98975
104,38,3.05324
106,38,3.11906
108,38,3.187
110,38,3.2568
112,38,3.32815
114,38,3.40065
116,38,3.47385
118,38,3.5472
120,38,3.62008
122,38,3.69181
124,38,3.76165
126,38,3.82878
128,38,3.89239
130,38,3.95161
132,38,4.00561
134,38,4.05356
136,38,4.09471
138,38,4.12837
140,38,4.15398
142,38,4.17107
144,38,4.17936
146,38,4.17872
148,38,4.16919
150,38,4.15102
152,38,4.12465
154,38,4.09069
156,38,4.04993
158,38,4.00333
160,38,3.95199
162,38,3.8971
164,38,3.83995
166,38,3.78187
168,38,3.72418
170,38,3.66821
172,38,3.6152
174,38,3.56629
176,38,3.52251
178,38,3.48471
180,38,3.45358
-180,40,3.03207
-178,40,3.00723
-176,40,2.99108
-174,40,2.98368
-172,40,2.98485
-170,40,2.99415
-168,40,3.01097
-166,40,3.03449
-164,40,3.0637
-162,40,3.09751
-160,40,3.1347
-158,40,3.174
-156,40,3.21413
-154,40,3.25382
-152,40,3.29187
-150,40,3.32716
-148,40,3.35867
-146,40,3.38555
-144,40,3.40709
-142,40,3.42275
-140,40,3.43217
-138,40,3.43515
-136,40,3.43167
-134,40,3.42187
-132,40,3.40602
-130,40,3.3845
-128,40,3.35781
-126,40,3.32652
-124,40,3.29124
-122,40,3.25261
-120,40,3.21128
-118,40,3.16789
-116,40,3.12303
-114,40,3.07727
-112,40,3.03109
-110,40,2.98493
-108,40,2.93915
-106,40,2.89403
-104,40,2.84979
-102,40,2.80659
-100,40,2.76451
-98,40,2.72359
-96,40,2.68383
-94,40,2.6452
-92,40,2.60763
-90,40,2.57105
-88,40,2.53539
-86,40,2.50059
-84,40,2.46659
-82,40,2.43335
-80,40,2.40087
-78,40,2.36916
-76,40,2.33826
-74,40,2.30823
-72,40,2.27916
-70,40,2.25116
-68,40,2.22435
-66,40,2.19886
-64,40,2.17482
-62,40,2.15236
-60,40,2.1316
-58,40,2.11265
-56,40,2.09561
-54,40,2.08055
-52,40,2.06753
-50,40,2.05658
-48,40,2.04771
-46,40,2.04091
-44,40,2.03615
-42,40,2.03336
-40,40,2.03249
-38,40,2.03344
-36,40,2.03612
-34,40,2.04041
-32,40,2.0462
-30,40,2.05337
-28,40,2.06178
-26,40,2.07129
-24,40,2.08179
-22,40,2.09313
-20,40,2.10517
-18,40,2.11779
-16,40,2.13086
-14,40,2.14424
-12,40,2.15781
-10,40,2.17143
-8,40,2.18498
-6,40,2.19834
-4,40,2.21137
-2,40,2.22395
0,40,2.23596
2,40,2.24727
4,40,2.25775
6,40,2.26729
8,40,2.27576
10,40,2.28305
12,40,2.28905
14,40,2.29367
16,40,2.29682
18,40,2.29842
20,40,2.29842
22,40,2.29679
24,40,2.29351
26,40,2.28859
28,40,2.28208
30,40,2.27405
32,40,2.26461
34,40,2.25389
36,40,2.24208
38,40,2.22937
40,40,2.21601
42,40,2.20225
44,40,2.1884
46,40,2.17475
48,40,2.16163
50,40,2.14937
52,40,2.13829
54,40,2.12872
56,40,2.12094
58,40,2.11525
60,40,2.11189
62,40,2.11108
64,40,2.11302
66,40,2.11783
68,40,2.12563
70,40,2.13649
72,40,2.15045
74,40,2.16752
76,40,2.18769
78,40,2.21092
80,40,2.23717
82,40,2.2664
84,40,2.29856
86,40,2.33361
88,40,2.37151
90,40,2.41223
92,40,2.45576
94,40,2.50209
96,40,2.55121
98,40,2.60311
100,40,2.65777
102,40,2.71514
104,40,2.77517
106,40,2.83774
108,40,2.90269
110,40,2.96979
112,40,3.03876
114,40,3.10922
116,40,3.18071
118,40,3.25268
120,40,3.32449
122,40,3.39541
124,40,3.46466
126,40,3.53135
128,40,3.59458
130,40,3.6534
132,40,3.70687
134,40,3.75406
136,40,3.79411
138,40,3.82623
140,40,3.84977
142,40,3.86418
144,40,3.8691
146,40,3.86438
148,40,3.85004
150,40,3.82633
152,40,3.79373
154,40,3.75291
156,40,3.70476
158,40,3.65036
160,40,3.59092
162,40,3.52781
164,40,3.46248
166,40,3.39643
168,40,3.33117
170,40,3.26819
172,40,3.20889
174,40,3.15458
176,40,3.10639
178,40,3.0653
180,40,3.03207
-180,42,2.63357
-178,42,2.60806
-176,42,2.59247
-174,42,2.58682
-172,42,2.5909
-170,42,2.60421
-168,42,2.62602
-166,42,2.65539
-164,42,2.6912
-162,42,2.73216
-160,42,2.77692
-158,42,2.82403
-156,42,2.87205
-154,42,2.91956
-152,42,2.96521
-150,42,3.00774
-148,42,3.04605
-146,42,3.07919
-144,42,3.10639
-142,42,3.12708
-140,42,3.14089
-138,42,3.14765
-136,42,3.14737
-134,42,3.14025
-132,42,3.12662
-130,42,3.10698
-128,42,3.0819
-126,42,3.05204
-124,42,3.01812
-122,42,2.98087
-120,42,2.94103
-118,42,2.89931
-116,42,2.85638
-114,42,2.81283
-112,42,2.7692
-110,42,2.72595
-108,42,2.68344
-106,42,2.64196
-104,42,2.6017
-102,42,2.56279
-100,42,2.52529
-98,42,2.48918
-96,42,2.45442
-94,42,2.42093
-92,42,2.38858
-90,42,2.35726
-88,42,2.32685
-86,42,2.29724
-84,42,2.26834
-82,42,2.24007
-80,42,2.21241
-78,42,2.18535
-76,42,2.15892
-74,42,2.13319
-72,42,2.10824
-70,42,2.08418
-68,42,2.06116
-66,42,2.0393
-64,42,2.01876
-62,42,1.99968
-60,42,1.98219
-58,42,1.96643
-56,42,1.95249
-54,42,1.94045
-52,42,1.93038
-50,42,1.9223
-48,42,1.91622
-46,42,1.91212
-44,42,1.90997
-42,42,1.90969
-40,42,1.91121
-38,42,1.91444
-36,42,1.91926
-34,42,1.92555
-32,42,1.93319
-30,42,1.94204
-28,42,1.95197
-26,42,1.96284
-24,42,1.97452
-22,42,1.98687
-20,42,1.99976
-18,42,2.01305
-16,42,2.02663
-14,42,2.04036
-12,42,2.05413
-10,42,2.06781
-8,42,2.08128
-6,42,2.09442
-4,42,2.10712
-2,42,2.11925
0,42,2.13069
2,42,2.14132
4,42,2.15103
6,42,2.15968
8,42,2.16716
10,42,2.17335
12,42,2.17815
14,42,2.18144
16,42,2.18314
18,42,2.18315
20,42,2.18142
22,42,2.17791
24,42,2.17258
26,42,2.16545
28,42,2.15655
30,42,2.14594
32,42,2.13374
34,42,2.12009
36,42,2.10515
38,42,2.08915
40,42,2.07234
42,42,2.05499
44,42,2.03743
46,42,2.01998
48,42,2.00299
50,42,1.98681
52,42,1.9718
54,42,1.95831
56,42,1.94664
58,42,1.93711
60,42,1.92999
62,42,1.92548
64,42,1.92379
66,42,1.92505
68,42,1.92936
70,42,1.93678
72,42,1.94733
74,42,1.961
76,42,1.97775
78,42,1.99752
80,42,2.02027
82,42,2.04592
84,42,2.07441
86,42,2.1057
88,42,2.13975
90,42,2.17655
92,42,2.21609
94,42,2.25838
96,42,2.30345
98,42,2.35133
100,42,2.40203
102,42,2.45555
104,42,2.51189
106,42,2.57096
108,42,2.63266
110,42,2.69681
112,42,2.76314
114,42,2.8313
116,42,2.90086
118,42,2.97124
120,42,3.04182
122,42,3.11182
124,42,3.1804
126,42,3.24663
128,42,3.30952
130,42,3.36804
132,42,3.42114
134,42,3.4678
136,42,3.50703
138,42,3.53795
140,42,3.55979
142,42,3.57193
144,42,3.57396
146,42,3.56564
148,42,3.54699
150,42,3.51827
152,42,3.47996
154,42,3.43281
156,42,3.3778
158,42,3.3161
160,42,3.24908
162,42,3.17825
164,42,3.10521
166,42,3.03165
168,42,2.95924
170,42,2.88965
172,42,2.82444
174,42,2.76506
176,42,2.71277
178,42,2.66866
180,42,2.63357
-180,44,2.2625
-178,44,2.23653
-176,44,2.22162
-174,44,2.21779
-172,44,2.22476
-170,44,2.24199
-168,44,2.26863
-166,44,2.30364
-164,44,2.34573
-162,44,2.3935
-160,44,2.44541
-158,44,2.49987
-156,44,2.55526
-154,44,2.61002
-152,44,2.66265
-150,44,2.71179
-148,44,2.75622
-146,44,2.79492
-144,44,2.82707
-142,44,2.85208
-140,44,2.86957
-138,44,2.87941
-136,44,2.88164
-134,44,2.87654
-132,44,2.86451
-130,44,2.84615
-128,44,2.82212
-126,44,2.79319
-124,44,2.76018
-122,44,2.7239
-120,44,2.68519
-118,44,2.64483
-116,44,2.60354
-114,44,2.56198
-112,44,2.52072
-110,44,2.48022
-108,44,2.44085
-106,44,2.40289
-104,44,2.36652
-102,44,2.33183
-100,44,2.29883
-98,44,2.26748
-96,44,2.23766
-94,44,2.20924
-92,44,2.18205
-90,44,2.15592
-88,44,2.13067
-86,44,2.10615
-84,44,2.08223
-82,44,2.0588
-80,44,2.03582
-78,44,2.01325
-76,44,1.99112
-74,44,1.96949
-72,44,1.94845
-70,44,1.92811
-68,44,1.90863
-66,44,1.89017
-64,44,1.87287
-62,44,1.85691
-60,44,1.84244
-58,44,1.82959
-56,44,1.81847
-54,44,1.80918
-52,44,1.80176
-50,44,1.79626
-48,44,1.79267
-46,44,1.79097
-44,44,1.79112
-42,44,1.79303
-40,44,1.79663
-38,44,1.80179
-36,44,1.80841
-34,44,1.81636
-32,44,1.82549
-30,44,1.83568
-28,44,1.84678
-26,44,1.85865
-24,44,1.87116
-22,44,1.88418
-20,44,1.89757
-18,44,1.91121
-16,44,1.92499
-14,44,1.93877
-12,44,1.95245
-10,44,1.96593
-8,44,1.97908
-6,44,1.9918
-4,44,2.00397
-2,44,2.0155
0,44,2.02626
2,44,2.03613
4,44,2.04501
6,44,2.05278
8,44,2.0593
10,44,2.06448
12,44,2.06818
14,44,2.0703
16,44,2.07074
18,44,2.06941
20,44,2.06623
22,44,2.06114
24,44,2.05412
26,44,2.04515
28,44,2.03426
30,44,2.02151
32,44,2.00701
34,44,1.99088
36,44,1.97331
38,44,1.95451
40,44,1.93476
42,44,1.91435
44,44,1.8936
46,44,1.87288
48,44,1.85255
50,44,1.833
52,44,1.8146
54,44,1.79772
56,44,1.7827
58,44,1.76987
60,44,1.7595
62,44,1.75182
64,44,1.74701
66,44,1.74522
68,44,1.74651
70,44,1.75095
72,44,1.75851
74,44,1.76917
76,44,1.78286
78,44,1.79951
80,44,1.81904
82,44,1.84135
84,44,1.86639
86,44,1.89409
88,44,1.92443
90,44,1.95738
92,44,1.99298
94,44,2.03125
96,44,2.07224
98,44,2.11603
100,44,2.16268
102,44,2.21223
104,44,2.26472
106,44,2.32014
108,44,2.37841
110,44,2.4394
112,44,2.50289
114,44,2.56857
116,44,2.636
118,44,2.70465
120,44,2.77385
122,44,2.84282
124,44,2.91069
126,44,2.97645
128,44,3.03906
130,44,3.09738
132,44,3.15029
134,44,3.19664
136,44,3.23536
138,44,3.26544
140,44,3.28601
142,44,3.29638
144,44,3.29603
146,44,3.28469
148,44,3.26234
150,44,3.22924
152,44,3.18589
154,44,3.1331
156,44,3.07191
158,44,3.00361
160,44,2.92968
162,44,2.85178
164,44,2.77169
166,44,2.69123
168,44,2.61226
170,44,2.53661
172,44,2.46599
174,44,2.40199
176,44,2.346
178,44,2.2992
180,44,2.2625
-180,46,1.92212
-178,46,1.89587
-176,46,1.88174
-174,46,1.87972
-172,46,1.8895
-170,46,1.91046
-168,46,1.94166
-166,46,1.98194
-164,46,2.02989
-162,46,2.08396
-160,46,2.14245
-158,46,2.20361
-156,46,2.2657
-154,46,2.32699
-152,46,2.38586
-150,46,2.44082
-148,46,2.49058
-146,46,2.53405
-144,46,2.57036
-142,46,2.5989
-140,46,2.61931
-138,46,2.63147
-136,46,2.63551
-134,46,2.63174
-132,46,2.62069
-130,46,2.60302
-128,46,2.57951
-126,46,2.55102
-124,46,2.51847
-122,46,2.48278
-120,46,2.44485
-118,46,2.40553
-116,46,2.36563
-114,46,2.32581
-112,46,2.28669
-110,46,2.24875
-108,46,2.21235
-106,46,2.17776
-104,46,2.14513
-102,46,2.11451
-100,46,2.08588
-98,46,2.05913
-96,46,2.03411
-94,46,2.01061
-92,46,1.98842
-90,46,1.96731
-88,46,1.94705
-86,46,1.92744
-84,46,1.90832
-82,46,1.88953
-80,46,1.87101
-78,46,1.85271
-76,46,1.83464
-74,46,1.81686
-72,46,1.79946
-70,46,1.78258
-68,46,1.76637
-66,46,1.75101
-64,46,1.73667
-62,46,1.72353
-60,46,1.71177
-58,46,1.70152
-56,46,1.69291
-54,46,1.68604
-52,46,1.68096
-50,46,1.67771
-48,46,1.67629
-46,46,1.67666
-44,46,1.67876
-42,46,1.68253
-40,46,1.68784
-38,46,1.69459
-36,46,1.70265
-34,46,1.71188
-32,46,1.72215
-30,46,1.7333
-28,46,1.74521
-26,46,1.75772
-24,46,1.77071
-22,46,1.78404
-20,46,1.7976
-18,46,1.81126
-16,46,1.82492
-14,46,1.83846
-12,46,1.8518
-10,46,1.86481
-8,46,1.87742
-6,46,1.88953
-4,46,1.90102
-2,46,1.91181
0,46,1.9218
2,46,1.93087
4,46,1.93891
6,46,1.94581
8,46,1.95144
10,46,1.9557
12,46,1.95846
14,46,1.9596
16,46,1.95901
18,46,1.9566
20,46,1.95227
22,46,1.94595
24,46,1.93761
26,46,1.9272
28,46,1.91476
30,46,1.90033
32,46,1.884
34,46,1.8659
36,46,1.84621
38,46,1.82516
40,46,1.80301
42,46,1.78008
44,46,1.75671
46,46,1.73328
48,46,1.71018
50,46,1.68782
52,46,1.6666
54,46,1.6469
56,46,1.62911
58,46,1.61353
60,46,1.60047
62,46,1.59016
64,46,1.58277
66,46,1.57843
68,46,1.57721
70,46,1.57912
72,46,1.58414
74,46,1.59221
76,46,1.60322
78,46,1.61709
80,46,1.63371
82,46,1.65297
84,46,1.67478
86,46,1.6991
88,46,1.72588
90,46,1.75513
92,46,1.78688
94,46,1.82119
96,46,1.85815
98,46,1.89786
100,46,1.94043
102,46,1.98596
104,46,2.03454
106,46,2.0862
108,46,2.14092
110,46,2.19863
112,46,2.25915
114,46,2.32219
116,46,2.38736
118,46,2.45413
120,46,2.52184
122,46,2.5897
124,46,2.65679
126,46,2.72208
128,46,2.78444
130,46,2.84268
132,46,2.89556
134,46,2.94184
136,46,2.98034
138,46,3.00996
140,46,3.02971
142,46,3.0388
144,46,3.03665
146,46,3.02293
148,46,2.99757
150,46,2.96081
152,46,2.91319
154,46,2.85554
156,46,2.78899
158,46,2.7149
160,46,2.6349
162,46,2.55076
164,46,2.46439
166,46,2.37781
168,46,2.293
170,46,2.21196
172,46,2.13654
174,46,2.06846
176,46,2.00924
178,46,1.96013
180,46,1.92212
-180,48,1.61449
-178,48,1.58816
-176,48,1.57487
-174,48,1.57462
-172,48,1.58704
-170,48,1.61146
-168,48,1.64684
-166,48,1.69192
-164,48,1.74516
-162,48,1.80488
-160,48,1.86925
-158,48,1.93637
-156,48,2.00434
-154,48,2.07132
-152,48,2.13556
-150,48,2.19548
-148,48,2.2497
-146,48,2.29707
-144,48,2.33668
-142,48,2.36793
-140,48,2.39046
-138,48,2.40421
-136,48,2.40934
-134,48,2.40626
-132,48,2.39557
-130,48,2.37804
-128,48,2.35454
-126,48,2.32605
-124,48,2.29356
-122,48,2.2581
-120,48,2.22063
-118,48,2.18209
-116,48,2.14331
-114,48,2.10502
-112,48,2.06783
-110,48,2.03224
-108,48,1.99861
-106,48,1.96719
-104,48,1.9381
-102,48,1.91135
-100,48,1.88688
-98,48,1.86452
-96,48,1.84408
-94,48,1.82528
-92,48,1.80786
-90,48,1.79153
-88,48,1.77602
-86,48,1.76108
-84,48,1.74649
-82,48,1.73208
-80,48,1.71776
-78,48,1.70345
-76,48,1.68916
-74,48,1.67494
-72,48,1.66089
-70,48,1.64716
-68,48,1.63391
-66,48,1.62134
-64,48,1.60964
-62,48,1.59901
-60,48,1.58963
-58,48,1.58166
-56,48,1.57524
-54,48,1.57045
-52,48,1.56738
-50,48,1.56604
-48,48,1.56643
-46,48,1.56852
-44,48,1.57223
-42,48,1.57748
-40,48,1.58415
-38,48,1.59212
-36,48,1.60125
-34,48,1.6114
-32,48,1.62242
-30,48,1.63417
-28,48,1.64651
-26,48,1.6593
-24,48,1.67241
-22,48,1.68572
-20,48,1.69912
-18,48,1.71249
-16,48,1.72573
-14,48,1.73876
-12,48,1.75149
-10,48,1.76383
-8,48,1.7757
-6,48,1.78702
-4,48,1.7977
-2,48,1.80766
0,48,1.8168
2,48,1.82503
4,48,1.83224
6,48,1.83833
8,48,1.84316
10,48,1.84664
12,48,1.84862
14,48,1.84899
16,48,1.84762
18,48,1.84441
20,48,1.83925
22,48,1.83207
24,48,1.82278
26,48,1.81137
28,48,1.79782
30,48,1.78217
32,48,1.76451
34,48,1.74495
36,48,1.72368
38,48,1.70091
40,48,1.67692
42,48,1.65203
44,48,1.62661
46,48,1.60104
48,48,1.57575
50,48,1.55116
52,48,1.52769
54,48,1.50577
56,48,1.48576
58,48,1.46802
60,48,1.45283
62,48,1.44044
64,48,1.431
66,48,1.42463
68,48,1.42139
70,48,1.42125
72,48,1.42417
74,48,1.43005
76,48,1.43877
78,48,1.4502
80,48,1.46422
82,48,1.4807
84,48,1.49955
86,48,1.5207
88,48,1.54412
90,48,1.56983
92,48,1.59787
94,48,1.62834
96,48,1.66135
98,48,1.69705
100,48,1.73559
102,48,1.77712
104,48,1.82177
106,48,1.86965
108,48,1.92078
110,48,1.97513
112,48,2.03258
114,48,2.09288
116,48,2.15568
118,48,2.22046
120,48,2.28658
122,48,2.35324
124,48,2.4195
126,48,2.4843
128,48,2.54644
130,48,2.60466
132,48,2.65765
134,48,2.70407
136,48,2.74264
138,48,2.77214
140,48,2.79151
142,48,2.79984
144,48,2.79648
146,48,2.78102
148,48,2.75338
150,48,2.71375
152,48,2.66269
154,48,2.60107
