Phi[deg],Theta[deg],GainTotal
34,2,6.50868
36,2,6.51472
38,2,6.52101
40,2,6.52755
42,2,6.53434
44,2,6.54137
46,2,6.54863
48,2,6.55611
50,2,6.56381
52,2,6.5717
54,2,6.5798
56,2,6.58808
58,2,6.59653
60,2,6.60515
62,2,6.61393
64,2,6.62286
66,2,6.63192
68,2,6.64111
70,2,6.65041
72,2,6.65981
74,2,6.66931
76,2,6.67889
78,2,6.68853
80,2,6.69824
82,2,6.70799
84,2,6.71778
86,2,6.72759
88,2,6.73741
90,2,6.74724
92,2,6.75704
94,2,6.76683
96,2,6.77658
98,2,6.78628
100,2,6.79591
102,2,6.80548
104,2,6.81496
106,2,6.82435
108,2,6.83363
110,2,6.84278
112,2,6.85181
114,2,6.8607
116,2,6.86943
118,2,6.878
120,2,6.88639
122,2,6.89459
124,2,6.9026
126,2,6.9104
128,2,6.91799
130,2,6.92535
132,2,6.93247
134,2,6.93935
136,2,6.94598
138,2,6.95234
140,2,6.95843
142,2,6.96424
144,2,6.96977
146,2,6.97501
148,2,6.97994
150,2,6.98457
152,2,6.98889
154,2,6.99289
156,2,6.99656
158,2,6.99991
160,2,7.00293
162,2,7.00561
164,2,7.00796
166,2,7.00996
168,2,7.01161
170,2,7.01292
172,2,7.01388
174,2,7.01449
176,2,7.01475
178,2,7.01465
180,2,7.01421
-180,4,7.24472
-178,4,7.24313
-176,4,7.24083
-174,4,7.23785
-172,4,7.23417
-170,4,7.2298
-168,4,7.22475
-166,4,7.21903
-164,4,7.21264
-162,4,7.20559
-160,4,7.19789
-158,4,7.18955
-156,4,7.18058
-154,4,7.17099
-152,4,7.1608
-150,4,7.15002
-148,4,7.13866
-146,4,7.12673
-144,4,7.11426
-142,4,7.10125
-140,4,7.08773
-138,4,7.07371
-136,4,7.05921
-134,4,7.04424
-132,4,7.02884
-130,4,7.01301
-128,4,6.99677
-126,4,6.98016
-124,4,6.96318
-122,4,6.94587
-120,4,6.92824
-118,4,6.91031
-116,4,6.89211
-114,4,6.87367
-112,4,6.855
-110,4,6.83613
-108,4,6.81708
-106,4,6.79789
-104,4,6.77856
-102,4,6.75913
-100,4,6.73963
-98,4,6.72007
-96,4,6.70049
-94,4,6.6809
-92,4,6.66133
-90,4,6.64181
-88,4,6.62236
-86,4,6.60301
-84,4,6.58378
-82,4,6.56469
-80,4,6.54577
-78,4,6.52704
-76,4,6.50852
-74,4,6.49025
-72,4,6.47223
-70,4,6.45449
-68,4,6.43705
-66,4,6.41994
-64,4,6.40318
-62,4,6.38677
-60,4,6.37075
-58,4,6.35513
-56,4,6.33993
-54,4,6.32517
-52,4,6.31086
-50,4,6.29702
-48,4,6.28366
-46,4,6.27081
-44,4,6.25847
-42,4,6.24665
-40,4,6.23538
-38,4,6.22466
-36,4,6.2145
-34,4,6.20491
-32,4,6.19591
-30,4,6.18749
-28,4,6.17968
-26,4,6.17247
-24,4,6.16588
-22,4,6.15991
-20,4,6.15456
-18,4,6.14984
-16,4,6.14575
-14,4,6.1423
-12,4,6.13949
-10,4,6.13732
-8,4,6.13579
-6,4,6.13491
-4,4,6.13466
-2,4,6.13506
0,4,6.1361
2,4,6.13777
4,4,6.14008
6,4,6.14302
8,4,6.14658
10,4,6.15077
12,4,6.15558
14,4,6.161
16,4,6.16702
18,4,6.17365
20,4,6.18087
22,4,6.18867
24,4,6.19704
26,4,6.20599
28,4,6.21549
30,4,6.22554
32,4,6.23613
34,4,6.24724
36,4,6.25887
38,4,6.271
40,4,6.28362
42,4,6.29672
44,4,6.31028
46,4,6.3243
48,4,6.33874
50,4,6.35361
52,4,6.36889
54,4,6.38455
56,4,6.40058
58,4,6.41697
60,4,6.43369
62,4,6.45074
64,4,6.46809
66,4,6.48571
68,4,6.5036
70,4,6.52173
72,4,6.54009
74,4,6.55864
76,4,6.57738
78,4,6.59627
80,4,6.6153
82,4,6.63444
84,4,6.65367
86,4,6.67297
88,4,6.69232
90,4,6.71168
92,4,6.73104
94,4,6.75038
96,4,6.76966
98,4,6.78887
100,4,6.80798
102,4,6.82697
104,4,6.8458
106,4,6.86447
108,4,6.88293
110,4,6.90117
112,4,6.91917
114,4,6.9369
116,4,6.95434
118,4,6.97146
120,4,6.98824
122,4,7.00466
124,4,7.02069
126,4,7.03632
128,4,7.05152
130,4,7.06628
132,4,7.08057
134,4,7.09437
136,4,7.10767
138,4,7.12044
140,4,7.13268
142,4,7.14435
144,4,7.15546
146,4,7.16597
148,4,7.17589
150,4,7.18519
152,4,7.19386
154,4,7.2019
156,4,7.20929
158,4,7.21601
160,4,7.22207
162,4,7.22746
164,4,7.23216
166,4,7.23618
168,4,7.2395
170,4,7.24212
172,4,7.24405
174,4,7.24527
176,4,7.24579
178,4,7.24561
180,4,7.24472
-180,6,7.43065
-178,6,7.42824
-176,6,7.42479
-174,6,7.42031
-172,6,7.41481
-170,6,7.40831
-168,6,7.4008
-166,6,7.39229
-164,6,7.38281
-162,6,7.37236
-160,6,7.36095
-158,6,7.3486
-156,6,7.33533
-154,6,7.32115
-152,6,7.30608
-150,6,7.29014
-148,6,7.27335
-146,6,7.25572
-144,6,7.23729
-142,6,7.21808
-140,6,7.1981
-138,6,7.17739
-136,6,7.15596
-134,6,7.13385
-132,6,7.11109
-130,6,7.08771
